Company,Previous Closing Price,Opening Price,High,Low,Close,Change,Trades,Volume,Value,Trade Date,"Previous
Closing
Price"
DEAPCAP [DWL],,1.81,--,--,--,,12,"33,780","62,364.90",01 Sep 25,1.81
DUNLOP [DIP],,0.2,--,--,--,,0,--,--,01 Sep 25,0.2
EKOCORP [DIP],,5.8,--,--,--,,0,--,--,01 Sep 25,5.8
ELLAHLAKES,,14.1,--,--,--,,39,"293,068","4,127,232.87",01 Sep 25,14.1
ENAMELWA,,39.0,--,--,--,,0,--,--,01 Sep 25,39.0
ETERNA,,38.0,--,--,--,,9,"31,543","1,080,249.00",01 Sep 25,38.0
ETI,,36.55,36.55,36.55,36.55,0.0,5,"506,530","18,517,295.00",01 Sep 25,36.55
ETRANZACT,,10.85,--,--,--,,10,"1,336","14,565.20",01 Sep 25,10.85
EUNISELL,,25.45,--,--,--,,2,"1,000","24,450.00",01 Sep 25,25.45
FCMB,,10.85,--,--,--,,66,"60,313","650,570.40",01 Sep 25,10.85
FIDELITYBK,,21.3,--,--,--,,101,"401,111","8,337,328.35",01 Sep 25,21.3
FIDSON,,43.0,--,--,--,,37,"14,300","565,251.80",01 Sep 25,43.0
FIRSTHOLDCO,,32.5,--,--,--,,35,"93,134","3,005,868.60",01 Sep 25,32.5
FTGINSURE [DWL],,0.2,--,--,--,,0,--,--,01 Sep 25,0.2
FTNCOCOA [RST],,6.3,--,--,--,,14,"13,772","88,399.60",01 Sep 25,6.3
GEREGU,,1141.5,--,--,--,,4,"3,524","3,620,557.60",01 Sep 25,1141.5
GOLDBREW [BMF],,7.1,--,--,--,,0,--,--,01 Sep 25,7.1
GTCO,,92.0,--,--,--,,73,"74,484","6,860,211.50",01 Sep 25,92.0
GUINEAINS,,1.42,--,--,--,,21,"177,906","258,686.04",01 Sep 25,1.42
GUINNESS,,130.0,--,--,--,,13,461,"62,931.00",01 Sep 25,130.0
HMCALL,,4.28,--,--,--,,0,--,--,01 Sep 25,4.28
HONYFLOUR [BLS],,22.55,--,--,--,,54,"46,062","1,044,433.90",01 Sep 25,22.55
IKEJAHOTEL,,22.95,--,--,--,,7,"4,540","112,249.30",01 Sep 25,22.95
